,country,description,points,price,province,taster_name,title,variety,winery,Address,lat,lon
47428,US,"In a vintage that produced the finest overall lineup of Cayuse wines to date, it may seem a little nit-picky to score some higher and some lower. But the En Chamberlin deserves first place again. Brilliant aromatics of smoked meat, bacon fat and otherworldly roasted accents seduce instantly. Once on the palate, the silky, balanced, near-perfect mix of umami and fruit, plus licorice, cassis, coffee liqueur and black tea notes suggest it's as decadent as it is delicious.",99,75,Oregon,Paul Gregutt,Cayuse 2009 En Chamberlin Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Cayuse,"17 E Main St, Walla Walla, WA 99362",46.06699816259874,-118.3388869853732
47894,US,"Dark and concentrated, this sends up complex aromas saturated with tar, asphalt, ink, steel, smoke and charred barbecue. It's a beautiful wine, tight and textural, in perfect balance, with superb depth, precision and elegance. The most contemplative of a superb 2011 Cayuse lineup, this wine above all needs your full attention.",99,75,Oregon,Paul Gregutt,Cayuse 2011 En Chamberlin Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Cayuse,"17 E Main St, Walla Walla, WA 99362",46.06699816259874,-118.3388869853732
